Complaint Year,Month Number,Record Create Date,County,Offense Category
2019,2,02/08/2019,BRONX,Sexual Orientation
2019,3,03/09/2019,BRONX,Race/Color
2019,3,03/10/2019,BRONX,Race/Color
2019,3,03/08/2019,BRONX,Race/Color
2019,5,05/11/2019,BRONX,Religion/Religious Practice
2019,5,05/11/2019,BRONX,Religion/Religious Practice
2019,5,05/11/2019,BRONX,Religion/Religious Practice
2019,6,06/01/2019,BRONX,Race/Color
2019,7,07/09/2019,BRONX,Ethnicity/National Origin/Ancestry
2019,8,08/05/2019,BRONX,Gender
2019,10,10/22/2019,BRONX,Religion/Religious Practice
2019,10,10/22/2019,BRONX,Religion/Religious Practice
2019,12,12/27/2019,KINGS,Religion/Religious Practice
2020,2,02/06/2020,BRONX,Sexual Orientation
2020,3,03/28/2020,BRONX,Race/Color
2020,3,03/28/2020,BRONX,Race/Color
2020,3,03/28/2020,BRONX,Race/Color
2020,4,04/12/2020,BRONX,Religion/Religious Practice
2020,7,07/07/2020,BRONX,Sexual Orientation
2020,7,07/07/2020,BRONX,Sexual Orientation
2020,7,07/31/2020,BRONX,Race/Color
2020,10,10/08/2020,BRONX,Sexual Orientation
2020,3,03/28/2020,BRONX,Race/Color
2020,7,07/18/2020,BRONX,Race/Color
2020,12,12/13/2020,BRONX,Sexual Orientation
2021,3,03/04/2021,BRONX,Ethnicity/National Origin/Ancestry
2021,3,03/14/2021,BRONX,Religion/Religious Practice
2021,4,04/09/2021,BRONX,Sexual Orientation
2021,4,04/23/2021,BRONX,Religion/Religious Practice
2021,5,05/01/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,5,05/01/2021,BRONX,Religion/Religious Practice
2021,4,04/23/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/22/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,4,04/25/2021,BRONX,Religion/Religious Practice
2021,9,09/06/2021,BRONX,Religion/Religious Practice
